,ticker,date,neg_text,uncert_text,pos_text,price_prior,price_0,price_1,price_3,price_7
0,akam,2008-07-30,break bridge challenging claims closed concern conciliation cut defer delay deter deteriorating disclaim disclaims disclose disclosed discourage disrupt doubt doubtful easing erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may roughly vary,able benefit better collaborate gain gained gaining gains good improve improvement leading satisfy strength succeed win,31.540000915527344,31.25,23.34000015258789,23.32999992370605,22.81999969482422
1,akam,2008-10-23,adverse breach break bridge cancel cancelled closing closure costly critical cut defer delay deter discourage erred fines ill inability inefficiency late lie limitation limitations lose losing loss losses miss plea pleas poses quit sever,anticipate anticipated appear appears approximate approximately assume assumed believe differ intangible may predict predictive roughly,able accomplish accomplishment accomplishments achieve advancement attractive benefit better boost breakthrough collaborate confident effective efficiencies efficiency efficient enable enabled enabling enhance enhanced enjoy exciting gain gains great greater greatly improve improved improving leading opportunity pleasure positive positively revolutionize revolutionized satisfy strength strengthen strengthening succeed success successful successfully valuable win,13.979999542236328,13.289999961853027,12.720000267028807,13.279999732971193,13.619999885559082
2,akam,2008-10-30,break bridge challenging claims closed concern conciliation cut defer delay deter deteriorating difficult disclaim disclaims disclose disclosed discourage disrupt doubt doubtful easing erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may pending vary,able benefit better collaborate excited gain gaining gains good improve improvement leading satisfy strength strong succeed win,13.890000343322756,13.800000190734865,14.380000114440918,14.68000030517578,14.06999969482422
3,akam,2008-11-19,break bridge cut disclaim force ill late lie loss miss restructuring sever taint,anticipate anticipated anticipates approximate approximately assumption assumptions differ may risk risks uncertain uncertainties,able satisfy win,11.899999618530273,10.630000114440918,9.289999961853027,11.260000228881836,12.270000457763672
4,akam,2009-01-23,against break bridge challenging closing cut deter fail fails forego ill lack late lie losing lying miss quit sue sued,contingent may,able achieve achieved achievement effective gain gains satisfy success win,12.760000228881836,13.399999618530273,13.649999618530273,14.010000228881836,14.199999809265135
5,akam,2009-02-04,break bridge challenging claims closed closing concern conciliation cut defer delay disclaim disclaims disclose disclosed discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose losing loss losses miss plea pleas poses quit restructuring sue sued unauthorized unexpected,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may unexpected vary,able accomplish accomplishment accomplishments benefit better collaborate gain gaining gains good impress impressive improve improved leading pleased satisfy strength succeed win,14.199999809265135,14.170000076293945,16.729999542236328,17.530000686645508,17.719999313354492
6,akam,2009-04-29,break bridge challenging claims closed concern conciliation cut defer delay deter disclaim disclaims disclose disclosed discontinue discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss plea pleas poses preclude precluded quit restructuring sever sue sued suspend unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may might roughly vary,able advantage advantages attractive benefit better collaborate gain gaining gains good improve improvement leading pleased positive satisfy strength strong succeed tremendous win,19.600000381469727,20.059999465942386,22.020000457763672,23.26000022888184,21.309999465942386
7,akam,2009-05-26,absenteeism adverse against breach break bridge cancel cancelled cease ceases claiming claims closed closing closure conflict conflicts contrary crime cut damage damages defer deter dishonest dishonesty dispose dissolution encumber encumbered erred excessive fail fails failure fined force forced forego forfeit forfeited forfeiture fraud harm ill impair inconsistency invalid invalidity lapse lapsed late lie limitation liquidation lose losing loss losses lying misconduct miss negative negligence negligent nondisclosure omission omit omitted pled poses quit refusal resign resignation restructuring serious sever sue sued suing terminate terminated termination terminations unfunded unsatisfactory violate violates violation violations,ambiguity contingent differ intangible may,able achieve achieved achievement achieves benefit conclusive confident desirable effective enable gain gains good satisfaction satisfactory satisfied satisfy succeed succeeding success valuable win,20.82999992370605,21.56999969482422,21.209999084472656,22.270000457763672,22.540000915527344
8,akam,2009-07-29,break bridge challenging claims closed concern conciliation cut defer delay difficult disclaim disclaims disclose disclosed discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able advantage advantages benefit better collaborate gain gaining gains good leading positive satisfy strength strong succeed superior win,20.450000762939453,20.399999618530273,16.510000228881836,16.420000076293945,19.459999084472656
9,akam,2009-10-28,break bridge challenging claims closed concern conciliation cut defer delay disclaim disclaims disclose disclosed discourage disrupt divest doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss plea pleas poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able benefit better collaborate gain gaining gains good improving leading pleased positive satisfy strength strong succeed superior win,20.959999084472656,20.15999984741211,22.790000915527344,22.450000762939453,23.31999969482422
